Sun,27.94207628,109
Mercury,0.377320008,0.6
Venus,0.904548236,0.95
Earth,1,1
Moon,0.165204977,0.27
Mars,0.37844177,0.53
Jupiter,2.528044055,11
Saturn,1.064654293,9.1
Uranus ,0.904548236,3.9
Neptune ,1.137058944,3.8
Black Hole,1000000,
